method,dim,function,instance,repetition,eval,best_feasible
Random,2,2,1,0,1,inf
Random,2,2,1,0,2,inf
Random,2,2,1,0,3,-1484.246948032138
Random,2,2,1,0,4,-1484.246948032138
Random,2,2,1,0,5,-1484.246948032138
Random,2,2,1,0,6,-1484.246948032138
Random,2,2,1,0,7,-1484.246948032138
Random,2,2,1,0,8,-1484.246948032138
Random,2,2,1,0,9,-1755.6985952662722
Random,2,2,1,0,10,-1755.6985952662722
Random,2,2,1,0,11,-1755.6985952662722
Random,2,2,1,0,12,-1755.6985952662722
Random,2,2,1,0,13,-1755.6985952662722
Random,2,2,1,0,14,-1755.6985952662722
Random,2,2,1,0,15,-1755.6985952662722
Random,2,2,1,0,16,-1755.6985952662722
Random,2,2,1,0,17,-1755.6985952662722
Random,2,2,1,0,18,-1755.6985952662722
Random,2,2,1,0,19,-1755.6985952662722
Random,2,2,1,0,20,-1755.6985952662722
qLogEI,2,2,1,0,1,inf
qLogEI,2,2,1,0,2,inf
qLogEI,2,2,1,0,3,-1484.246948032138
qLogEI,2,2,1,0,4,-1484.246948032138
qLogEI,2,2,1,0,5,-1732.6087932373434
qLogEI,2,2,1,0,6,-1732.6087932373434
qLogEI,2,2,1,0,7,-1788.2409272357088
qLogEI,2,2,1,0,8,-1898.855307197924
qLogEI,2,2,1,0,9,-1898.855307197924
qLogEI,2,2,1,0,10,-1952.3605612970841
qLogEI,2,2,1,0,11,-2014.7874846987324
qLogEI,2,2,1,0,12,-2014.7874846987324
qLogEI,2,2,1,0,13,-2014.7874846987324
qLogEI,2,2,1,0,14,-2014.7874846987324
qLogEI,2,2,1,0,15,-2014.7874846987324
qLogEI,2,2,1,0,16,-2014.7874846987324
qLogEI,2,2,1,0,17,-2014.7874846987324
qLogEI,2,2,1,0,18,-2018.9438677918135
qLogEI,2,2,1,0,19,-2019.8017632340025
qLogEI,2,2,1,0,20,-2020.4106044243485
RL_Enhanced,2,2,1,0,1,inf
RL_Enhanced,2,2,1,0,2,inf
RL_Enhanced,2,2,1,0,3,-1484.246948032138
RL_Enhanced,2,2,1,0,4,-1484.246948032138
RL_Enhanced,2,2,1,0,5,-1484.246948032138
RL_Enhanced,2,2,1,0,6,-1484.246948032138
RL_Enhanced,2,2,1,0,7,-1484.246948032138
RL_Enhanced,2,2,1,0,8,-1484.246948032138
RL_Enhanced,2,2,1,0,9,-1484.246948032138
RL_Enhanced,2,2,1,0,10,-1484.246948032138
RL_Enhanced,2,2,1,0,11,-1484.246948032138
RL_Enhanced,2,2,1,0,12,-1484.246948032138
