method,dim,function,instance,repetition,final_best_feasible
Random,2,2,1,0,-1755.6985952662722
qLogEI,2,2,1,0,-2020.4106044243485
RL_Enhanced,2,2,1,0,-1484.246948032138
Random,2,2,1,1,-1939.0344949368807
qLogEI,2,2,1,1,-2009.168138808364
RL_Enhanced,2,2,1,1,-1651.3052895012513
Random,2,2,1,2,-1928.4692352602017
qLogEI,2,2,1,2,-2019.9442961266377
RL_Enhanced,2,2,1,2,-1570.6125298122981
Random,2,2,1,3,-1817.8415078605685
qLogEI,2,2,1,3,-2017.7211767662939
RL_Enhanced,2,2,1,3,-1493.7358838440298
Random,2,2,1,4,-1979.2281983453768
qLogEI,2,2,1,4,-2014.3914345106011
RL_Enhanced,2,2,1,4,-1431.1984616956943
Random,2,2,2,0,inf
qLogEI,2,2,2,0,inf
RL_Enhanced,2,2,2,0,inf
Random,2,2,2,1,inf
qLogEI,2,2,2,1,inf
RL_Enhanced,2,2,2,1,inf
Random,2,2,2,2,-714.3323717964231
qLogEI,2,2,2,2,-849.2731057287447
RL_Enhanced,2,2,2,2,-714.3323717964231
Random,2,2,2,3,inf
qLogEI,2,2,2,3,inf
RL_Enhanced,2,2,2,3,inf
Random,2,2,2,4,inf
qLogEI,2,2,2,4,inf
RL_Enhanced,2,2,2,4,inf
Random,2,2,3,0,-681.2406693510877
qLogEI,2,2,3,0,-793.3229279596551
RL_Enhanced,2,2,3,0,-6.624960755369926
Random,2,2,3,1,-695.9339682374944
qLogEI,2,2,3,1,-793.9067191312652
RL_Enhanced,2,2,3,1,inf
Random,2,2,3,2,-530.5898771541022
qLogEI,2,2,3,2,-800.7189890178192
RL_Enhanced,2,2,3,2,inf
Random,2,2,3,3,-431.28771494135697
qLogEI,2,2,3,3,-794.4204816844341
RL_Enhanced,2,2,3,3,inf
Random,2,2,3,4,-484.6794839132139
qLogEI,2,2,3,4,-796.6698626304764
RL_Enhanced,2,2,3,4,-445.39911824747406
Random,2,4,1,0,inf
qLogEI,2,4,1,0,inf
RL_Enhanced,2,4,1,0,inf
Random,2,4,1,1,inf
qLogEI,2,4,1,1,inf
RL_Enhanced,2,4,1,1,inf
Random,2,4,1,2,inf
qLogEI,2,4,1,2,inf
RL_Enhanced,2,4,1,2,inf
Random,2,4,1,3,inf
qLogEI,2,4,1,3,inf
RL_Enhanced,2,4,1,3,inf
Random,2,4,1,4,inf
qLogEI,2,4,1,4,inf
RL_Enhanced,2,4,1,4,inf
Random,2,4,2,0,1686.7888468288106
qLogEI,2,4,2,0,986.1563209825713
RL_Enhanced,2,4,2,0,1014.4481431035119
Random,2,4,2,1,1166.6715414658877
qLogEI,2,4,2,1,946.0733912276811
RL_Enhanced,2,4,2,1,1850.2852302735346
Random,2,4,2,2,1596.7726467943285
qLogEI,2,4,2,2,inf
RL_Enhanced,2,4,2,2,1872.265410261321
Random,2,4,2,3,1365.3482615607825
qLogEI,2,4,2,3,1082.5371288755532
RL_Enhanced,2,4,2,3,inf
Random,2,4,2,4,1227.2796248219533
qLogEI,2,4,2,4,1135.4189405501231
RL_Enhanced,2,4,2,4,1983.0699974743754
Random,2,4,3,0,1483.1865587290738
qLogEI,2,4,3,0,1353.128030215811
RL_Enhanced,2,4,3,0,inf
Random,2,4,3,1,1306.3811800700876
qLogEI,2,4,3,1,1305.3456706169218
RL_Enhanced,2,4,3,1,1306.3811800700876
Random,2,4,3,2,1328.3759615511408
qLogEI,2,4,3,2,1335.3302107469876
RL_Enhanced,2,4,3,2,inf
Random,2,4,3,3,1398.6987083351864
qLogEI,2,4,3,3,1299.3528460753446
RL_Enhanced,2,4,3,3,inf
Random,2,4,3,4,1446.074181345575
qLogEI,2,4,3,4,1367.110404583473
RL_Enhanced,2,4,3,4,inf
Random,2,6,1,0,693.6462031682748
qLogEI,2,6,1,0,658.4188799362064
RL_Enhanced,2,6,1,0,929.4759415850247
Random,2,6,1,1,508.6732491781231
qLogEI,2,6,1,1,504.9582540069965
RL_Enhanced,2,6,1,1,622.6705780418868
Random,2,6,1,2,690.5017782107084
qLogEI,2,6,1,2,415.4770320660554
RL_Enhanced,2,6,1,2,795.3121465353859
Random,2,6,1,3,915.2597507774212
qLogEI,2,6,1,3,inf
RL_Enhanced,2,6,1,3,794.9830455923407
Random,2,6,1,4,413.4944354650017
qLogEI,2,6,1,4,413.3155506190615
RL_Enhanced,2,6,1,4,413.4944354650017
Random,2,6,2,0,742.4638375185874
qLogEI,2,6,2,0,669.7260396741764
RL_Enhanced,2,6,2,0,1378.0806984923302
Random,2,6,2,1,969.3008421567417
qLogEI,2,6,2,1,562.9639557731583
RL_Enhanced,2,6,2,1,1225.0436929333525
Random,2,6,2,2,694.9618585510341
qLogEI,2,6,2,2,566.7896509246883
RL_Enhanced,2,6,2,2,694.9618585510341
Random,2,6,2,3,543.2766175741881
qLogEI,2,6,2,3,532.1172376526961
RL_Enhanced,2,6,2,3,543.2766175741881
Random,2,6,2,4,810.9510509271472
qLogEI,2,6,2,4,563.4680820422852
RL_Enhanced,2,6,2,4,902.7869015642317
Random,2,6,3,0,-9630.967190111829
qLogEI,2,6,3,0,-9883.785182857071
RL_Enhanced,2,6,3,0,-9630.967190111829
Random,2,6,3,1,-9746.84372312828
qLogEI,2,6,3,1,inf
RL_Enhanced,2,6,3,1,inf
Random,2,6,3,2,inf
qLogEI,2,6,3,2,-9806.484005099162
RL_Enhanced,2,6,3,2,inf
Random,2,6,3,3,-9847.792957389072
qLogEI,2,6,3,3,-9860.254416781638
RL_Enhanced,2,6,3,3,inf
Random,2,6,3,4,-9664.61995150882
qLogEI,2,6,3,4,-9828.0569658239
RL_Enhanced,2,6,3,4,-9528.020599058158
Random,2,50,1,0,493.7424187470792
qLogEI,2,50,1,0,294.4692708671666
RL_Enhanced,2,50,1,0,669.2908842782938
Random,2,50,1,1,166.19583632102146
qLogEI,2,50,1,1,339.3924499538724
RL_Enhanced,2,50,1,1,655.3916856026017
Random,2,50,1,2,132.0809747546461
qLogEI,2,50,1,2,277.30225515289953
RL_Enhanced,2,50,1,2,726.9911149934119
Random,2,50,1,3,190.350646303926
qLogEI,2,50,1,3,284.21511665844156
RL_Enhanced,2,50,1,3,284.21511665844156
Random,2,50,1,4,129.98920041002154
qLogEI,2,50,1,4,121.67920380415009
RL_Enhanced,2,50,1,4,559.6064985445274
Random,2,50,2,0,8748.691754136544
qLogEI,2,50,2,0,8574.839338905611
RL_Enhanced,2,50,2,0,8727.743738341873
Random,2,50,2,1,8998.262689886655
qLogEI,2,50,2,1,8656.603561386497
RL_Enhanced,2,50,2,1,8741.205031457073
Random,2,50,2,2,8835.20851483428
qLogEI,2,50,2,2,8573.944155981007
RL_Enhanced,2,50,2,2,8749.94018013534
Random,2,50,2,3,inf
qLogEI,2,50,2,3,8574.211744786115
RL_Enhanced,2,50,2,3,8744.880206702781
Random,2,50,2,4,8652.634353159492
qLogEI,2,50,2,4,8656.60343216539
RL_Enhanced,2,50,2,4,8687.83859465078
Random,2,50,3,0,657.5094577237819
qLogEI,2,50,3,0,142.11570435757255
RL_Enhanced,2,50,3,0,inf
Random,2,50,3,1,359.5641880196198
qLogEI,2,50,3,1,291.7921641884178
RL_Enhanced,2,50,3,1,458.8079018534427
Random,2,50,3,2,247.12572070497617
