method,dim,function,instance,repetition,eval,best_feasible
Random,2,2,1,0,1,inf
Random,2,2,1,0,2,inf
Random,2,2,1,0,3,-1484.246948032138
Random,2,2,1,0,4,-1484.246948032138
Random,2,2,1,0,5,-1484.246948032138
Random,2,2,1,0,6,-1484.246948032138
Random,2,2,1,0,7,-1484.246948032138
Random,2,2,1,0,8,-1484.246948032138
Random,2,2,1,0,9,-1755.6985952662722
Random,2,2,1,0,10,-1755.6985952662722
Random,2,2,1,0,11,-1755.6985952662722
Random,2,2,1,0,12,-1755.6985952662722
Random,2,2,1,0,13,-1755.6985952662722
Random,2,2,1,0,14,-1755.6985952662722
Random,2,2,1,0,15,-1755.6985952662722
Random,2,2,1,0,16,-1755.6985952662722
Random,2,2,1,0,17,-1755.6985952662722
Random,2,2,1,0,18,-1755.6985952662722
Random,2,2,1,0,19,-1755.6985952662722
Random,2,2,1,0,20,-1755.6985952662722
qLogEI,2,2,1,0,1,inf
qLogEI,2,2,1,0,2,inf
qLogEI,2,2,1,0,3,-1484.246948032138
qLogEI,2,2,1,0,4,-1484.246948032138
qLogEI,2,2,1,0,5,-1746.0645075090229
qLogEI,2,2,1,0,6,-1746.0645075090229
qLogEI,2,2,1,0,7,-1831.6738510654563
qLogEI,2,2,1,0,8,-1915.9953987324227
qLogEI,2,2,1,0,9,-1915.9953987324227
qLogEI,2,2,1,0,10,-1989.0573955682519
qLogEI,2,2,1,0,11,-1989.0573955682519
qLogEI,2,2,1,0,12,-1989.0573955682519
qLogEI,2,2,1,0,13,-1989.0573955682519
qLogEI,2,2,1,0,14,-1989.0573955682519
qLogEI,2,2,1,0,15,-1989.0573955682519
qLogEI,2,2,1,0,16,-2018.7054535806192
qLogEI,2,2,1,0,17,-2018.7054535806192
qLogEI,2,2,1,0,18,-2021.7539479187428
qLogEI,2,2,1,0,19,-2022.5824702519933
qLogEI,2,2,1,0,20,-2022.5824702519933
RL_Full,2,2,1,0,1,inf
RL_Full,2,2,1,0,2,inf
RL_Full,2,2,1,0,3,-1484.246948032138
RL_Full,2,2,1,0,4,-1484.246948032138
RL_Full,2,2,1,0,5,-1484.246948032138
RL_Full,2,2,1,0,6,-1484.246948032138
RL_Full,2,2,1,0,7,-1484.246948032138
RL_Full,2,2,1,0,8,-1484.246948032138
RL_Full,2,2,1,0,9,-1484.246948032138
RL_Full,2,2,1,0,10,-1484.246948032138
RL_Full,2,2,1,0,11,-1484.246948032138
RL_Full,2,2,1,0,12,-1484.246948032138
RL_Full,2,2,1,0,13,-1484.246948032138
RL_Full,2,2,1,0,14,-1484.246948032138
