method,dim,function,instance,repetition,final_best_feasible
Random,2,2,1,0,-1755.6985952662722
qLogEI,2,2,1,0,-2022.5824702519933
RL_Full,2,2,1,0,-1484.246948032138
Random,2,2,1,1,-1939.0344949368807
qLogEI,2,2,1,1,-2020.5911827390287
RL_Full,2,2,1,1,inf
Random,2,2,1,2,-1928.4692352602017
qLogEI,2,2,1,2,-2013.4491908613677
RL_Full,2,2,1,2,-1501.5305258682502
Random,2,2,1,3,-1817.8415078605685
qLogEI,2,2,1,3,-2015.4104676849233
RL_Full,2,2,1,3,-1304.8001685975307
Random,2,2,1,4,-1979.2281983453768
qLogEI,2,2,1,4,-2018.1688953175285
RL_Full,2,2,1,4,-1424.8122622011065
Random,2,2,2,0,inf
qLogEI,2,2,2,0,inf
RL_Full,2,2,2,0,inf
Random,2,2,2,1,inf
qLogEI,2,2,2,1,inf
RL_Full,2,2,2,1,inf
Random,2,2,2,2,-714.3323717964231
qLogEI,2,2,2,2,-849.7851236118969
RL_Full,2,2,2,2,-714.3323717964231
Random,2,2,2,3,inf
qLogEI,2,2,2,3,inf
RL_Full,2,2,2,3,inf
Random,2,2,2,4,inf
qLogEI,2,2,2,4,inf
RL_Full,2,2,2,4,inf
Random,2,2,3,0,-681.2406693510877
qLogEI,2,2,3,0,-797.9218368166988
RL_Full,2,2,3,0,-6.624960755369926
Random,2,2,3,1,-695.9339682374944
qLogEI,2,2,3,1,-802.4306994486636
RL_Full,2,2,3,1,inf
Random,2,2,3,2,-530.5898771541022
qLogEI,2,2,3,2,-797.9556198924683
RL_Full,2,2,3,2,inf
Random,2,2,3,3,-431.28771494135697
qLogEI,2,2,3,3,-796.9187913581468
RL_Full,2,2,3,3,inf
Random,2,2,3,4,-484.6794839132139
qLogEI,2,2,3,4,-795.280706468901
RL_Full,2,2,3,4,-445.39911824747406
Random,2,4,1,0,inf
qLogEI,2,4,1,0,inf
RL_Full,2,4,1,0,inf
Random,2,4,1,1,inf
qLogEI,2,4,1,1,inf
RL_Full,2,4,1,1,inf
Random,2,4,1,2,inf
qLogEI,2,4,1,2,inf
RL_Full,2,4,1,2,inf
Random,2,4,1,3,inf
qLogEI,2,4,1,3,-4458.670751538168
RL_Full,2,4,1,3,inf
Random,2,4,1,4,inf
qLogEI,2,4,1,4,inf
RL_Full,2,4,1,4,inf
Random,2,4,2,0,1686.7888468288106
qLogEI,2,4,2,0,972.1438026247927
RL_Full,2,4,2,0,2064.575204486192
Random,2,4,2,1,1166.6715414658877
qLogEI,2,4,2,1,1014.5799058528817
RL_Full,2,4,2,1,1850.2852302735346
Random,2,4,2,2,1596.7726467943285
qLogEI,2,4,2,2,inf
RL_Full,2,4,2,2,inf
Random,2,4,2,3,1365.3482615607825
qLogEI,2,4,2,3,inf
RL_Full,2,4,2,3,inf
Random,2,4,2,4,1227.2796248219533
qLogEI,2,4,2,4,inf
RL_Full,2,4,2,4,inf
Random,2,4,3,0,1483.1865587290738
qLogEI,2,4,3,0,1348.5365843752265
RL_Full,2,4,3,0,inf
Random,2,4,3,1,1306.3811800700876
qLogEI,2,4,3,1,1306.3811800700876
RL_Full,2,4,3,1,1306.3811800700876
Random,2,4,3,2,1328.3759615511408
qLogEI,2,4,3,2,1316.5999672016426
RL_Full,2,4,3,2,inf
Random,2,4,3,3,1398.6987083351864
qLogEI,2,4,3,3,1328.4503615758445
RL_Full,2,4,3,3,inf
Random,2,4,3,4,1446.074181345575
qLogEI,2,4,3,4,1341.2198602612857
RL_Full,2,4,3,4,inf
Random,2,6,1,0,693.6462031682748
qLogEI,2,6,1,0,inf
RL_Full,2,6,1,0,inf
Random,2,6,1,1,508.6732491781231
qLogEI,2,6,1,1,450.50060752360196
RL_Full,2,6,1,1,622.6705780418868
Random,2,6,1,2,690.5017782107084
qLogEI,2,6,1,2,417.610242151344
RL_Full,2,6,1,2,inf
Random,2,6,1,3,915.2597507774212
qLogEI,2,6,1,3,inf
RL_Full,2,6,1,3,inf
Random,2,6,1,4,413.4944354650017
qLogEI,2,6,1,4,410.3764622862905
RL_Full,2,6,1,4,413.4944354650017
Random,2,6,2,0,742.4638375185874
qLogEI,2,6,2,0,595.9045243493606
RL_Full,2,6,2,0,1378.0806984923302
Random,2,6,2,1,969.3008421567417
qLogEI,2,6,2,1,574.3744701127157
RL_Full,2,6,2,1,1225.0436929333525
Random,2,6,2,2,694.9618585510341
qLogEI,2,6,2,2,549.4622602557649
RL_Full,2,6,2,2,694.9618585510341
Random,2,6,2,3,543.2766175741881
qLogEI,2,6,2,3,537.794306397776
RL_Full,2,6,2,3,543.2766175741881
Random,2,6,2,4,810.9510509271472
qLogEI,2,6,2,4,527.709846335882
RL_Full,2,6,2,4,902.7869015642317
Random,2,6,3,0,-9630.967190111829
qLogEI,2,6,3,0,-9812.108023355635
RL_Full,2,6,3,0,-9630.967190111829
Random,2,6,3,1,-9746.84372312828
qLogEI,2,6,3,1,-9845.230961083691
RL_Full,2,6,3,1,inf
Random,2,6,3,2,inf
qLogEI,2,6,3,2,-9831.644552407226
RL_Full,2,6,3,2,inf
Random,2,6,3,3,-9847.792957389072
qLogEI,2,6,3,3,-9870.899323518428
RL_Full,2,6,3,3,inf
Random,2,6,3,4,-9664.61995150882
qLogEI,2,6,3,4,-9833.40898740244
RL_Full,2,6,3,4,-9528.020599058158
Random,2,50,1,0,493.7424187470792
qLogEI,2,50,1,0,51.41494820237181
RL_Full,2,50,1,0,740.4968977975456
