method,dim,function,instance,repetition,eval,best_feasible
Random,2,2,1,0,1,inf
Random,2,2,1,0,2,inf
Random,2,2,1,0,3,-1484.246948032138
Random,2,2,1,0,4,-1484.246948032138
Random,2,2,1,0,5,-1484.246948032138
Random,2,2,1,0,6,-1484.246948032138
Random,2,2,1,0,7,-1484.246948032138
Random,2,2,1,0,8,-1484.246948032138
Random,2,2,1,0,9,-1755.6985952662722
Random,2,2,1,0,10,-1755.6985952662722
Random,2,2,1,0,11,-1755.6985952662722
Random,2,2,1,0,12,-1755.6985952662722
Random,2,2,1,0,13,-1755.6985952662722
Random,2,2,1,0,14,-1755.6985952662722
Random,2,2,1,0,15,-1755.6985952662722
Random,2,2,1,0,16,-1755.6985952662722
Random,2,2,1,0,17,-1755.6985952662722
Random,2,2,1,0,18,-1755.6985952662722
Random,2,2,1,0,19,-1755.6985952662722
Random,2,2,1,0,20,-1755.6985952662722
qLogEI,2,2,1,0,1,inf
qLogEI,2,2,1,0,2,inf
qLogEI,2,2,1,0,3,-1484.246948032138
qLogEI,2,2,1,0,4,-1484.246948032138
qLogEI,2,2,1,0,5,-1721.270950038037
qLogEI,2,2,1,0,6,-1828.3430654272
qLogEI,2,2,1,0,7,-1899.6312180493373
qLogEI,2,2,1,0,8,-1965.3325007526973
qLogEI,2,2,1,0,9,-1965.3325007526973
qLogEI,2,2,1,0,10,-1965.3325007526973
qLogEI,2,2,1,0,11,-1965.3325007526973
qLogEI,2,2,1,0,12,-1965.3325007526973
qLogEI,2,2,1,0,13,-1965.3325007526973
qLogEI,2,2,1,0,14,-2007.0720513164133
qLogEI,2,2,1,0,15,-2007.0720513164133
qLogEI,2,2,1,0,16,-2007.0720513164133
qLogEI,2,2,1,0,17,-2011.133096696675
qLogEI,2,2,1,0,18,-2011.133096696675
qLogEI,2,2,1,0,19,-2011.133096696675
qLogEI,2,2,1,0,20,-2011.133096696675
RL,2,2,1,0,1,inf
RL,2,2,1,0,2,inf
RL,2,2,1,0,3,-1484.246948032138
RL,2,2,1,0,4,-1484.246948032138
RL,2,2,1,0,5,-1484.246948032138
RL,2,2,1,0,6,-1484.246948032138
RL,2,2,1,0,7,-1484.246948032138
RL,2,2,1,0,8,-1484.246948032138
RL,2,2,1,0,9,-1484.246948032138
RL,2,2,1,0,10,-1484.246948032138
RL,2,2,1,0,11,-1484.246948032138
RL,2,2,1,0,12,-1484.246948032138
RL,2,2,1,0,13,-1484.246948032138
RL,2,2,1,0,14,-1484.246948032138
RL,2,2,1,0,15,-1484.246948032138
RL,2,2,1,0,16,-1484.246948032138
