method,dim,function,instance,repetition,final_best_feasible
Random,2,2,1,0,-1755.6985952662722
qLogEI,2,2,1,0,-2011.133096696675
RL,2,2,1,0,-1484.246948032138
Random,2,2,1,1,-1939.0344949368807
qLogEI,2,2,1,1,-2014.889437688605
RL,2,2,1,1,-1406.0561621199543
Random,2,2,1,2,-1928.4692352602017
qLogEI,2,2,1,2,-2011.4975056604426
RL,2,2,1,2,-1501.5305258682502
Random,2,2,1,3,-1817.8415078605685
qLogEI,2,2,1,3,-2017.1775007510969
RL,2,2,1,3,-1409.7657852647785
Random,2,2,1,4,-1979.2281983453768
qLogEI,2,2,1,4,-1999.357956534468
RL,2,2,1,4,-1424.8122622011065
Random,2,2,2,0,inf
qLogEI,2,2,2,0,inf
RL,2,2,2,0,inf
Random,2,2,2,1,inf
qLogEI,2,2,2,1,inf
RL,2,2,2,1,inf
Random,2,2,2,2,-714.3323717964231
qLogEI,2,2,2,2,-837.9089715034917
RL,2,2,2,2,-714.3323717964231
Random,2,2,2,3,inf
qLogEI,2,2,2,3,inf
RL,2,2,2,3,inf
Random,2,2,2,4,inf
qLogEI,2,2,2,4,inf
RL,2,2,2,4,inf
Random,2,2,3,0,-681.2406693510877
qLogEI,2,2,3,0,-792.3637504710678
RL,2,2,3,0,-393.80189460173193
Random,2,2,3,1,-695.9339682374944
qLogEI,2,2,3,1,-798.4004488235084
RL,2,2,3,1,inf
Random,2,2,3,2,-530.5898771541022
qLogEI,2,2,3,2,-798.7088928983635
RL,2,2,3,2,inf
Random,2,2,3,3,-431.28771494135697
qLogEI,2,2,3,3,-801.3900465978817
RL,2,2,3,3,inf
Random,2,2,3,4,-484.6794839132139
qLogEI,2,2,3,4,-799.6479292427169
RL,2,2,3,4,-445.39911824747406
Random,2,4,1,0,inf
qLogEI,2,4,1,0,inf
RL,2,4,1,0,inf
Random,2,4,1,1,inf
qLogEI,2,4,1,1,inf
RL,2,4,1,1,inf
Random,2,4,1,2,inf
qLogEI,2,4,1,2,-4458.177964994785
RL,2,4,1,2,inf
Random,2,4,1,3,inf
qLogEI,2,4,1,3,inf
RL,2,4,1,3,inf
Random,2,4,1,4,inf
qLogEI,2,4,1,4,inf
RL,2,4,1,4,inf
Random,2,4,2,0,1686.7888468288106
qLogEI,2,4,2,0,962.5473810450967
RL,2,4,2,0,2064.575204486192
Random,2,4,2,1,1166.6715414658877
qLogEI,2,4,2,1,1102.1363783755482
RL,2,4,2,1,1850.2852302735346
Random,2,4,2,2,1596.7726467943285
qLogEI,2,4,2,2,1516.4816689613258
RL,2,4,2,2,inf
Random,2,4,2,3,1365.3482615607825
qLogEI,2,4,2,3,1402.2292788470545
RL,2,4,2,3,inf
Random,2,4,2,4,1227.2796248219533
qLogEI,2,4,2,4,inf
RL,2,4,2,4,inf
Random,2,4,3,0,1483.1865587290738
qLogEI,2,4,3,0,1365.7294993987198
RL,2,4,3,0,inf
Random,2,4,3,1,1306.3811800700876
qLogEI,2,4,3,1,1303.887800364767
RL,2,4,3,1,1306.3811800700876
Random,2,4,3,2,1328.3759615511408
qLogEI,2,4,3,2,inf
RL,2,4,3,2,inf
Random,2,4,3,3,1398.6987083351864
qLogEI,2,4,3,3,1352.2439804991811
RL,2,4,3,3,inf
Random,2,4,3,4,1446.074181345575
qLogEI,2,4,3,4,1382.895285611364
RL,2,4,3,4,inf
Random,2,6,1,0,693.6462031682748
qLogEI,2,6,1,0,672.0459241047351
RL,2,6,1,0,inf
